id,name,name_urdu,city,province,type,category,campuses,chartered_by,established_year,website,image_url,google_map_url,distance_education,phone,email,ranking,fee_range_max,has_hec_scholarship,has_usaid_scholarship,financial_aid_office,scholarship_details,programs,scholarship_programs
uni_1,Abasyn University,Abasyn University,Peshawar,Khyber Pakhtunkhwa,Private,General,Islamabad; Peshawar,Government of Khyber Pakhtunkhwa,2007,http://www.abasyn.edu.pk,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3300.3033157088207!2d72.03481311474509!3d34.18972581792076!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38deca256ed2f867%3A0xb13125823db58c!2sAbdul+Wali+Khan+University+Mardan!5e0!3m2!1sen!2s!4v1468670032462,False,+92-91-258 2934,info@abasynuniversity.edu.pk,,350000,False,False,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar. +92-91-258 2934, +92-91- 2248675, +92-91-2247264",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_2,Abbottabad University of Science and Technology (AUST),Abbottabad University of Science and Technology (AUST),Abbottabad,Khyber Pakhtunkhwa,Public,General,Mian Campus,Government of Khyber Pakhtunkhwa,2015,http://aust.edu.pk,https://www.hec.gov.pk/english/universities/PublishingImages/AUST.jpeg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3305.043554965926!2d73.14732301476624!3d34.068397724326864!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38de34eee2011a8f%3A0x9adaae6db5dcc089!2sAbbottabad+University+Of+Science+And+Technology!5e0!3m2!1sen!2s!4v1474965211708,False,+92 (992) 402 117,info@abbottabaduniversityofscienceandtechnologyaust.edu.pk,,57000,False,False,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa  +92 (992) 402 117",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Electrical Engineering,Civil Engineering,Mechanical Engineering,Mechatronics,Artificial Intelligence",
uni_3,Abdul Wali Khan University,Abdul Wali Khan University,Mardan,Khyber Pakhtunkhwa,Public,General,Mardan,Government of Khyber Pakhtunkhwa,2009,http://www.awkum.edu.pk,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,"https://www.google.com/maps/place/Abdul+Wali+Khan+University+Mardan+(+AWKUM+-+Garden+Campus+)/@34.1414521,72.0466476,15z/data=!4m2!3m1!1s0x0:0x2a74fe7d04c5d2c5?sa=X&ved=1t:2428&ictx=111",False,+92-937-843356,info@abdulwalikhanuniversity.edu.pk,,69000,False,False,"Garden Campus Toru Road, Mardan. +92-937-843356, +92-937-840499",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_4,Aga Khan University,آغا خان یونیورسٹی، کراچی,Karachi,Sindh,Private,General,Karachi,Government of Pakistan,1983,http://www.aku.edu/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.159132320841!2d67.07182391452413!3d24.892553050102087!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33edcf21c1bc9%3A0xd51802ed8f0ac36c!2sAga+Khan+University!5e0!3m2!1sen!2s!4v1468933498318,False,+92-21-34863902,info@agakhanuniversity.edu.pk,,1200000,False,False,"Stadium Road, Karachi 74800 +92-21-34863902, +92-21-34863900, +92-21-34863901, +92-21-34930051, +92-21-34932094",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_5,"Air University, Islamabad","Air University, Islamabad",Islamabad,Islamabad Capital Territory,Public,General,Mian Campus; Kamra; Kharian; Lahore; Multan,Government of Pakistan,2002,http://www.au.edu.pk/,https://www.hec.gov.pk/english/universities/PublishingImages/Islamabad/air%20university.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.8103728409487!2d73.02247351456579!3d33.71385538069931!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbe5967d48243%3A0xcb2c90c562c4687e!2sAir+University!5e0!3m2!1sen!2s!4v1466927516643,False,+92-51-9262557-9,info@airuniversityislamabad.edu.pk,,340000,False,False,"Main Campus, Sector E-9, Islamabad.  +92-51-9262557-9",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_6,"Air War College Institute, Karachi","Air War College Institute, Karachi",Karachi,Sindh,Public,General,Mian Campus,Government of Pakistan,2021,https://awci.edu.pk/,https://www.hec.gov.pk/english/universities/PublishingImages/Sindh/Air%20War%20College%20Institute.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.262803636224!2d67.11187881447806!3d24.889015850243283!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb3393ee36cee2f%3A0x36b97ff0fad21ff4!2sAir%20War%20College%20Institute!5e0!3m2!1sen!2s!4v1621855925986!5m2!1sen!2s,False,+92-21-99541500,support@awci.edu.pk,,340000,False,False,Civil Number +92-21-99541500 Exchange : +92-21-99547569 Fax : +92-21-99240375 Email : support@awci.edu.pk,Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_7,"Al-Ghazali University, Karachi","Al-Ghazali University, Karachi",Karachi,Sindh,Private,General,Mian Campus,Government of Sindh,2022,http://www.alghazaliuniversity.edu.pk/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.9840026120955!2d67.11128247451339!3d25.000659539634896!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb347e485bda19d%3A0x7571c08596ad3548!2sAl-Ghazali%20University!5e0!3m2!1sen!2s!4v1692779891355!5m2!1sen!2s,False,0092-21-36881900,info@alghazaliuniversity.edu.pk,,350000,False,False,"Plot # AS V/6, Sector V, Shahrah-e-Mullah Jewan, Ahsanabad Cooperative Housing Society, Karachi Tel # 0092-21-36881900 Email: info@alghazaliuniversity.edu.pk",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_8,Al-Hamd Islamic University,Al-Hamd Islamic University,Quetta,Balochistan,Private,General,Quetta,Government of Balochistan,2005,http://www.aiu.edu.pk,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3446.5810391496766!2d66.97711771464233!3d30.249021815835256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ed31fe10b1cde7b%3A0x6e76dd15bea2aabf!2sAlhamd+Islamic+University!5e0!3m2!1sen!2s!4v1468610776747,False,+92-81-2301771-6,info@alhamdislamicuniversity.edu.pk,,350000,False,False,"Airport Road Quetta, Baleli Road, Quetta, Pakistan +92-81-2301771-6, 4, 3,2",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_9,Ali Institute of Education,Ali Institute of Education,Lahore,Punjab,Private,General,Lahore,Government of Punjab,2010,http://www.aie.edu.pk/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3402.4040585046414!2d74.33841291467317!3d31.4855757560107!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919043ca58a69ed%3A0xead888426fface6c!2sAli+Institute+of+Education!5e0!3m2!1sen!2s!4v1468740443740,False,+92-42-35885065,info@aliinstituteofeducation.edu.pk,,350000,False,False,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000. +92-42-35885065, +92-42-35882913, +92-42-35837080",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_10,"Al-Karam International Institute, Bhera","Al-Karam International Institute, Bhera",Bhera,Punjab,Private,General,Mian Campus,Government of Pakistan,2021,https://akii.edu.pk/,"https://www.hec.gov.pk/english/universities/PublishingImages/Al%20Karam%20Institute,%20Bhera.png",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10380.738094181303!2d72.90620148230813!3d32.48504657139191!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3921b1d3fe4bbd57%3A0x10a53b1e59c1afce!2sAl-Karam%20International%20Institute%20-%20Bhera!5e0!3m2!1sen!2s!4v1660563127386!5m2!1sen!2s,False,+92 302-3723246,info@akii.edu.pk,,350000,False,False,"Bhera Distt Sargodha Punjab Pakistan Tel # +92 302-3723246, +92 331-5353320,  Email: info@akii.edu.pk",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_11,"Al-Kawthar University, Karachi","Al-Kawthar University, Karachi",Karachi,Sindh,Private,General,Mian Campus,Government of Sindh,2023,https://www.alkawthar.pk/,https://www.hec.gov.pk/english/universities/PublishingImages/Al-Kawthar%20University.png,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7236.399762434504!2d67.1050953132141!3d24.92525979923521!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb339b1454b477f%3A0xb3c11c2abeb978c6!2sAl-Kawthar%20University!5e0!3m2!1sen!2s!4v1718945137014!5m2!1sen!2s,False,+92-312-6311110,info@alkawthar.pk,,350000,False,False,"Street # 9, Block 7, Main University Road, Opposite Safari Park, Gulshan-e-Iqbal, Karachi East. Pakistan Tel # +92-312-6311110 Email: info@alkawthar.pk",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_12,Al-Khair University,Al-Khair University,Bhimber,Azad Jammu & Kashmir,Private,General,Bhimber,Government of AJK,1994,http://alkhair.edu.pk/new/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3340.9114599510544!2d73.77150941454654!3d33.137690580864614!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391febbdb02daa47%3A0x4eb281703dba8037!2sAl-Khair+University+AJK!5e0!3m2!1sen!2s!4v1467441717250,False,+92-5828-454085,info@alkhairuniversity.edu.pk,,340000,False,False,"University Road, Bhimber (AJK) +92-5828-454085, +92-355-6103355",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_13,Allama Iqbal Open University,Allama Iqbal Open University,Islamabad,Islamabad Capital Territory,Public,General,Abbottabad; Islamabad,Government of Pakistan,1984,http://www.aiou.edu.pk,https://www.hec.gov.pk/english/universities/PublishingImages/Islamabad/AIOU-Allama%20Iqbal%20Open%20University.png,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13280.057959640892!2d73.04682326676867!3d33.68268898070809!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbfd916b82f59%3A0xdcb4b6f257eaac74!2sAllama+Iqbal+Open+University-Official!5e0!3m2!1sen!2s!4v1466856411191,True,+92-51-111-112-468,support@aiou.edu.pk,,45000,False,False,Address : Allama Iqbal Open University Sector H-8 Islamabad E-mail : support@aiou.edu.pk Call : +92-51-111-112-468,Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_14,"Aror University of Art, Architecture, Design and Heritage, Sukkur","Aror University of Art, Architecture, Design and Heritage, Sukkur",Sukkur,Sindh,Public,Arts & Design,Mian Campus,Government of Sindh,2020,https://aroruniversitysindh.edu.pk/,https://www.hec.gov.pk/english/universities/PublishingImages/Aror%20University.png,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3533.8111016753046!2d68.89828141434627!3d27.661315482811005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3935d5067709454b%3A0x7e32c95e35857f31!2zQXJvciBVbml2ZXJzaXR5IG9mIEFydCwgQXJjaGl0ZWN0dXJlLCBEZXNpZ24gYW5kIEhlcml0YWdlcyBTdWtrdXIg2KfYsdmI2pkg2YrZiNmG2YrZiNix2LPZvdmKINii2YEg2KLYsdm92Iwg2KLYsdqq2YrZvdmK2qrahtix2Iwg2orZitiy2KfYptmGINu9INmH2YrYsdmK2b3Zitis2LIg2LPZg9ix!5e0!3m2!1sen!2s!4v1660623289850!5m2!1sen!2s,False,0092-71-9311300,info@aroruniversitysindh.edu.pk,,57000,False,False,"RCW Rohri Bypass, Sukkur, Sindh-Pakistan Tel # 0092-71-9311300 Email: info@aroruniversitysindh.edu.pk",Scholarship availability and coverage must be verified with the university financial aid office.,"Fine Arts,Architecture,Graphic Design,Textile Design,Fashion Design,Film & TV",
uni_15,"Baba Guru Nanak University, Nankana Sahib","Baba Guru Nanak University, Nankana Sahib",Nankana Sahib,Punjab,Public,General,Mian Campus,Government of Punjab,2020,https://bgnu.edu.pk/,https://www.hec.gov.pk/english/universities/PublishingImages/Baba%20Guru%20Nanak%20University.png,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3402.092541611908!2d73.72249357476927!3d31.494140048439025!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391891c685a4a749%3A0x5bbfd63f9fba288!2sBaba%20Guru%20Nanak%20University%20(BGNU)!5e0!3m2!1sen!2s!4v1701924872758!5m2!1sen!2s,False,+92-56-3549566,info@bgnu.edu.pk,,69000,False,False,"Adampura, Nankana Sahib, Punjab, Pakistan 39100 Tel # +92-56-3549566 Email: info@bgnu.edu.pk",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_16,Bacha Khan University,Bacha Khan University,Charsada,Khyber Pakhtunkhwa,Public,General,Charsada,Government of Khyber Pakhtunkhwa,2012,http://www.bkuc.edu.pk,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3302.368592408826!2d71.83604381474363!3d34.13691092071176!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38d936923d154701%3A0x45699948986964d3!2sBacha+Khan+University!5e0!3m2!1sen!2s!4v1468671181735,False,+92-91-6540062,info@bachakhanuniversity.edu.pk,,81000,False,False,"Palosa, Charsadda. +92-91-6540062",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_17,"Bahauddin Zakariya University (BZU), Multan","Bahauddin Zakariya University (BZU), Multan",Multan,Punjab,Public,General,Multan; Sahiwal,Government of Punjab,1975,http://www.bzu.edu.pk/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3446.0600944884236!2d71.50788791464265!3d30.263868915129418!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x393b34c13413d3ed%3A0xc2efb8e4b3db1f58!2sBahauddin+Zakariya+University!5e0!3m2!1sen!2s!4v1468741400206,False,+92-61-9210069,info@bahauddinzakariyauniversitybzumultan.edu.pk,,93000,False,False,"Bosan Road, Multan +92-61-9210069",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_18,Bahria University,بحریہ یونیورسٹی، اسلام آباد,Islamabad,Islamabad Capital Territory,Public,General,Islamabad; Karachi; Lahore,Government of Pakistan,2000,http://www.bahria.edu.pk/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.7398874537544!2d73.02723881434694!3d33.71567898069878!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbef8c137888d%3A0xc3ccfd031ad14ba6!2sBahria+University!5e0!3m2!1sen!2s!4v1466859839637,False,+92-51-111-111-028,info@bahriauniversity.edu.pk,11,340000,False,False,"Shangrilla Road, Sector E-8 Islamabad +92-51-111-111-028",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Business Administration,Electrical Engineering,Data Science,Economics,Law,Psychology",
uni_19,Balochistan University of Engineering & Technology,Balochistan University of Engineering & Technology,Khuzdar,Balochistan,Public,General,Khuzdar,Government of Balochistan,1994,http://www.buetk.edu.pk,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3528.6971515684704!2d66.62587621458563!3d27.81909142718014!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ecb76056f8b1dc5%3A0x95ab75585b9100c6!2sBalochistan+University+of+Engineering+and+Technology!5e0!3m2!1sen!2s!4v1468611482391,False,+92-848-412834,info@balochistanuniversityofengineeringtechnology.edu.pk,,45000,False,False,"Balochistan University of Engg & Technology (BUET), Khuzdar. +92-848-412834, +92-848-5021000",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Electrical Engineering,Civil Engineering,Mechanical Engineering,Mechatronics,Artificial Intelligence",
uni_20,"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)","Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Quetta,Balochistan,Public,Engineering & Technology,Quetta,Government of Balochistan,2002,http://www.buitms.edu.pk,https://www.hec.gov.pk/english/universities/PublishingImages/BUITEMS.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3445.913289547483!2d66.93802701464288!3d30.268051714930454!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ed31e4efcd49773%3A0x43313d2851abe590!2sBalochistan+University+of+Information+Technology%2C+Engineering+%26+Management+Sciences!5e0!3m2!1sen!2s!4v1468612229690,False,+92-81-2881042081,info@balochistanuniversityofinformationtechnologyengineeringmanagementsciencesbuitems.edu.pk,,57000,False,False,"Airport Road, Baleli, Quetta +92-81-2881042081, +92-81-9202463, +92-81-9201051",Scholarship availability and coverage must be verified with the university financial aid office.,"Computer Science,Software Engineering,Electrical Engineering,Civil Engineering,Mechanical Engineering,Mechatronics,Artificial Intelligence",
uni_21,Baqai Medical University,Baqai Medical University,Karachi,Sindh,Private,General,Karachi,Government of Sindh,1996,http://www.baqai.edu.pk/,https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=600&q=80,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3616.3663589127373!2d67.211663214526!3d24.987664296302416!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb3483e28db8a9b%3A0x4118818c4c532b00!2sBaqai+Medical+University%2C+Karachi%2C+Pakistan!5e0!3m2!1sen!2s!4v1468945514321,False,+92-21-34410-311,info@baqaimedicaluniversity.edu.pk,,350000,False,False,"51, Deh Tor, Toll Plaza, Super Highway, Gadap Road, Karachi +92-21-34410-311, +92-21-34410-293-298, +92-21-34410427-28",Scholarship availability and coverage must be verified with the university financial aid office.,"MBBS,BDS,Pharm-D,Nursing,Biotechnology,Public Health,Doctor of Physical Therapy",
