university_name,city,type,scholarship_name,coverage,contact
Abasyn University,Peshawar,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar. +92-91-258 2934, +92-91- 2248675, +92-91-2247264"
Abbottabad University of Science and Technology (AUST),Abbottabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa  +92 (992) 402 117"
Abdul Wali Khan University,Mardan,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Garden Campus Toru Road, Mardan. +92-937-843356, +92-937-840499"
Aga Khan University,Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Stadium Road, Karachi 74800 +92-21-34863902, +92-21-34863900, +92-21-34863901, +92-21-34930051, +92-21-34932094"
"Air University, Islamabad",Islamabad,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Main Campus, Sector E-9, Islamabad.  +92-51-9262557-9"
"Air War College Institute, Karachi",Karachi,Public,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,Civil Number +92-21-99541500 Exchange : +92-21-99547569 Fax : +92-21-99240375 Email : support@awci.edu.pk
"Al-Ghazali University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Plot # AS V/6, Sector V, Shahrah-e-Mullah Jewan, Ahsanabad Cooperative Housing Society, Karachi Tel # 0092-21-36881900 Email: info@alghazaliuniversity.edu.pk"
Al-Hamd Islamic University,Quetta,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Airport Road Quetta, Baleli Road, Quetta, Pakistan +92-81-2301771-6, 4, 3,2"
Ali Institute of Education,Lahore,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000. +92-42-35885065, +92-42-35882913, +92-42-35837080"
"Al-Kawthar University, Karachi",Karachi,Private,HEC Need-Based Scholarship,Full Tuition + Monthly Stipend,"Street # 9, Block 7, Main University Road, Opposite Safari Park, Gulshan-e-Iqbal, Karachi East. Pakistan Tel # +92-312-6311110 Email: info@alkawthar.pk"
