university_name,city,focal_person,coverage,source
Abbottabad University of Science and Technology (AUST),Abbottabad,USAID Focal Officer - Abbottabad University of Science and Technology (AUST),Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Abdul Wali Khan University,Mardan,USAID Focal Officer - Abdul Wali Khan University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Air University, Islamabad",Islamabad,"USAID Focal Officer - Air University, Islamabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Air War College Institute, Karachi",Karachi,"USAID Focal Officer - Air War College Institute, Karachi",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Allama Iqbal Open University,Islamabad,USAID Focal Officer - Allama Iqbal Open University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Aror University of Art, Architecture, Design and Heritage, Sukkur",Sukkur,"USAID Focal Officer - Aror University of Art, Architecture, Design and Heritage, Sukkur",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Baba Guru Nanak University, Nankana Sahib",Nankana Sahib,"USAID Focal Officer - Baba Guru Nanak University, Nankana Sahib",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Bacha Khan University,Charsada,USAID Focal Officer - Bacha Khan University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Bahauddin Zakariya University (BZU), Multan",Multan,"USAID Focal Officer - Bahauddin Zakariya University (BZU), Multan",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Bahria University,Islamabad,USAID Focal Officer - Bahria University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Balochistan University of Engineering & Technology,Khuzdar,USAID Focal Officer - Balochistan University of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Quetta,"USAID Focal Officer - Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Begum Nustrat Bhutto Women University, Sukkur",Sukkur,"USAID Focal Officer - Begum Nustrat Bhutto Women University, Sukkur",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Benazir Bhutto Shaheed University Lyari,Karachi,USAID Focal Officer - Benazir Bhutto Shaheed University Lyari,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Khairpur,"USAID Focal Officer - Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Bahawal Pur,"USAID Focal Officer - Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"COMSATS University, Islamabad",Islamabad,"USAID Focal Officer - COMSATS University, Islamabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Dawood University of Engineering & Technology,Karachi,USAID Focal Officer - Dawood University of Engineering & Technology,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
DOW University of Health Sciences,Karachi,USAID Focal Officer - DOW University of Health Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Emerson University, Multan",Multan,"USAID Focal Officer - Emerson University, Multan",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Faisalabad Medical University, Faisalabad",Faisalabad,"USAID Focal Officer - Faisalabad Medical University, Faisalabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Fatima Jinnah Medical University, Lahore",Lahore,"USAID Focal Officer - Fatima Jinnah Medical University, Lahore",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Fatima Jinnah Women University,Rawalpindi,USAID Focal Officer - Fatima Jinnah Women University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Federal Urdu University of Arts, Sciences & Technology",Islamabad,"USAID Focal Officer - Federal Urdu University of Arts, Sciences & Technology",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Gambat Institute of Medical Sciences,Khairpur,USAID Focal Officer - Gambat Institute of Medical Sciences,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Ghazi University,Dera Ghazi Khan,USAID Focal Officer - Ghazi University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
Gomal University,Dera Ismail Khan,USAID Focal Officer - Gomal University,Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Government College for Women University, Faisalabad",Faisalabad,"USAID Focal Officer - Government College for Women University, Faisalabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Government College for Women University, Sialkot",Sialkot,"USAID Focal Officer - Government College for Women University, Sialkot",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
"Government College University, Faisalabad",Faisalabad,"USAID Focal Officer - Government College University, Faisalabad",Full Tuition + Lodging + Books & Living Allowance,USAID MNBSP Partner
